1,香,xiāng,3
2,椒,jiāo,3
3,是,shì,2
4,拉,lā,2
5,差,chā,2
6,甜,tián,2
7,辣,là,2
8,醬,jiàng,2
9,食,shí,2
10,品,pĭn,2
11,之,zhī,2
12,用,yòng,2
13,種,zhŏng,2
14,味,wèi,2
15,匯,huì,1
16,豐,fēng,1
17,公,gōng,1
18,司,sī,1
19,無,wú,1
20,加,jiā,1
21,色,sè,1
22,素,sù,1
23,乃,năi,1
24,採,căi,1
25,特,tè,1
26,大,dà,1
27,紅,hóng,1
28,新,xīn,1
29,鮮,xiān,1
30,指,zhĭ,1
31,天,tiān,1
32,蒜,suàn,1
33,精,jīng,1
34,製,zhì,1
35,而,ér,1
36,成,chéng,1
37,於,yú,1
38,調,diào,1
39,和,hé,1
40,各,gè,1
41,魚,yú,1
42,肉,ròu,1
43,麵,miàn,1
44,餃,jiăo,1
45,料,liào,1
46,都,dōu,1
47,美,mĕi,1
48,可,kĕ,1
49,口,kŏu,1
50,且,qiĕ,1
51,久,jiŭ,1
52,藏,cáng,1
53,氣,qì,1
54,不,bù,1
55,變,biàn,1
56,質,zhí,1
57,担,dān,1
58,保,băo,1
